Agency,Agency Type,/data,Updated to comply?,Web Based Public Data Listing,/data.json,Updated to comply?,/digitalstrategy,Updated with data publication process?,Updated with Inventory Schedule?,Related links/information,Enterprise Data Inventory?,Data.gov ,Sets in listing/sets on data.gov (at launch),Data Listing other formats,1/8/13: /data in compliance?,1/8/13/: /data.json in compliance?,Data.gov scraped?,Scrape converted into CSV?,Inventory converted into CSV?,JSON Error?
Department of State,Cabinet,http://www.state.gov/data/,Yes,,http://www.state.gov/data.json,Yes,http://www.state.gov/digitalstrategy/,Partial Compliance,Summary and milestones,http://www.state.gov/digitalstrategy/217785.htm#4,,http://catalog.data.gov/dataset?q=organization:state-gov+OR+organization:oecd-state-gov,114/88,,Yes,Yes,Y,Y,Yes,
Department of the Interior,Cabinet,http://interior.gov/data/index.cfm,No,https://data.doi.gov/dataset,http://interior.gov/data.json,Yes,http://interior.gov//digitalstrategy/index.cfm,Yes,summary and milestones,http://interior.gov/data/upload/DOIOpenDataFY14Plan.pdf,,http://catalog.data.gov/dataset?q=organization:doi-gov+OR+organization:nbc-doi-gov+OR+organization:oha-doi-gov+OR+organization:fws-gov+OR+organization:nps-gov+OR+organization:os-doi-gov+OR+organization:usbr-gov+OR+organization:bie-doi-gov+OR+organization:fgdc-gov+OR+organization:osm-doi-gov+OR+organization:usgs-gov+OR+organization:blm-gov+OR+organization:boem-gov,"65,804/11,864",,,,,,No,"Can download JSON but not convert, error shown: Extra data: Line 1 column 23119758 - line 4564 column 2 (char 23119758 - 110615988)"
Department of the Treasury,Cabinet,http://www.treasury.gov/resource-center/data-chart-center/digitalstrategy/Pages/data.aspx,Partial Compliance,http://www.treasury.gov/resource-center/data-chart-center/digitalstrategy/Pages/dataset.aspx,http://www.treasury.gov/jsonfiles/data.json,Yes,http://www.treasury.gov/resource-center/data-chart-center/digitalstrategy/pages/default.aspx,Partial Compliance,Summary and milestones,,,http://catalog.data.gov/dataset?q=organization:treasury-gov+OR+organization:bpd-treas-gov+OR+organization:fms-treas-gov+OR+organization:ttb-treas-gov+OR+organization:bep-gov+OR+organization:irs-gov+OR+organization:do-treas-gov+OR+organization:mint-treas-gov+OR+organization:fincen-gov+OR+organization:occ-treas-gov,47/112,,,,,,Yes,
Department of Transportation,Cabinet,http://www.dot.gov/data,Yes,,http://www.dot.gov/sites/dot.dev/files/data/data.gov/data.json,Yes,http://www.dot.gov/digitalstrategy,Yes,Summary and milestones,"http://www.dot.gov/mission/digital-government-strategy-4, http://www.dot.gov/mission/open/datagov-interim-identification-prioritization-process-and-guidelines-v10, http://www.dot.gov/mission/open/datagov-interim-identification-prioritization-process-and-guidelines-v10",,http://catalog.data.gov/dataset?q=organization:dot-gov+OR+organization:phmsa-dot-gov+OR+organization:bts-dot-gov+OR+organization:rita-dot-gov+OR+organization:fra-dot-gov+OR+organization:fta-dot-gov+OR+organization:slsdc-dot-gov+OR+organization:nhtsa-dot-gov+OR+organization:stb-dot-gov+OR+organization:faa-dot-gov+OR+organization:ma-dot-gov+OR+organization:fha-dot-gov+OR+organization:ost-dot-gov+OR+organization:fmcsa-dot-gov,"1,698/2,079",,,,,,Yes,
Department of Veterans Affairs,Cabinet,http://www.va.gov/data/,No,,http://va.gov/data.json,Yes,http://www.va.gov/digitalstrategy/,No,No,,,http://catalog.data.gov/dataset?q=organization:va-gov+OR+organization:vba-va-gov+OR+organization:vha-va-gov+OR+organization:nca-va-gov,0/171,,No,Yes,,,Yes,
General Services Administration,Independent,http://gsa.gov/portal/content/181591?utm_source=OCM&utm_medium=print-radio&utm_term=data&utm_campaign=shortcuts,Yes,http://gsa.gov/portal/content/181591?utm_source=OCM&utm_medium=print-radio&utm_term=data&utm_campaign=shortcuts,http://gsa.gov/data.json,Yes,http://gsa.gov/portal/content/140871?utm_source=OCSIT&utm_medium=print-radio&utm_term=digitalstrategy&utm_campaign=shortcuts,No,No,,,http://catalog.data.gov/dataset?q=organization:pbs-gsa-gov+OR+organization:ocsit-gsa-gov+OR+organization:ogp-gsa-gov+OR+organization:fas-gsa-gov+OR+organization:gsa-gov+OR+organization:cpo-gsa-gov+OR+organization:opi-gsa-gov+OR+organization:ocfo-gsa-gov,14/143,,,Yes,,,Yes,
Environmental Protection Agency,Independent,http://www.epa.gov/data/,Yes,http://iaspub.epa.gov/enviro/datafinder.html?pType=7,http://www2.epa.gov/sites/production/files/2013-11/dcat_public_v2.json,Yes,http://www.epa.gov/digitalstrategy/,Yes,Yes,http://www.epa.gov/digitalstrategy/pdf/EPA_OpenDataPolicy_ImplementationPlan_2013Nov26.pdf,,http://catalog.data.gov/dataset?q=organization:epa-gov,"2,266/1,809",http://www2.epa.gov/sites/production/files/2013-12/usepa-pdl4odp-nov-2013-final.xlsx,,,,,No,"""Invalid \escape: line 1085 column 1959 (char 154535)"""
USAID,Independent,http://www.usaid.gov/data,Yes,http://www.usaid.gov/data,http://www.usaid.gov/data.json,Yes,http://www.usaid.gov/digitalstrategy,Yes,No,http://www.usaid.gov/sites/default/files/documents/15396/DataPublicationProcess.pdf,,http://catalog.data.gov/dataset?q=organization:usaid-gov,199/21,,,,,,Yes,
Social Security Administration,Independent,http://www.ssa.gov/data/,Yes,http://www.ssa.gov/data/,http://www.ssa.gov/data.json,Yes,http://ssa.gov/digitalstrategy/,Yes,Summary and milestones,http://ssa.gov/digitalstrategy/,,http://catalog.data.gov/dataset?q=organization:ssa-gov,69/57,,,,,,No,"""No JSON object could be decoded"""
Securities and Exchange Commission,Independent,http://www.sec.gov/data,No,http://www.sec.gov/data#.U5cbZZRdUrE,http://www.sec.gov/data.json,Yes,http://www.sec.gov/digitalstrategy,Yes,Milestones,,,http://catalog.data.gov/dataset?q=organization:sec-gov,46/21,,,,,,No,"""When converting a JSON document with a top-level dictionary element, a key must be specified"""
Office of Personnel Management,Independent,http://www.opm.gov/data/,No,http://www.opm.gov/data/index.aspx,http://www.opm.gov/data.json,Yes,http://www.opm.gov/about-us/open-government/digital-government-strategy/,No,Summary and milestones,,,http://catalog.data.gov/dataset?q=organization:opm-gov,18/68,,,,,,Yes,
Nuclear Regulatory Commission,Independent,http://www.nrc.gov/data/,No,,http://www.nrc.gov/data.json,Yes,http://www.nrc.gov/public-involve/open/digital-government.html,Yes,Summary and milestones,"http://pbadupws.nrc.gov/docs/ML1332/ML13326A503.pdf , http://www.nrc.gov/public-involve/open/digital-government.html#schedule",,http://catalog.data.gov/dataset?q=organization:nrc-gov,31/30,,,,,,Yes,
National Transportation Safety Board,Independent,http://www.ntsb.gov/data/,No,,http://www.ntsb.gov/data.json,Yes,None,No,No,,,http://catalog.data.gov/dataset?q=organization:ntsb-gov,21/22,,,,,,Yes,
National Science Foundation,Independent,http://www.nsf.gov/data/,Yes,,http://www.nsf.gov/data.json,Yes,http://www.nsf.gov/digitalstrategy/,Yes,Summary and Milestones,http://www.nsf.gov/digitalstrategy.html,,http://catalog.data.gov/dataset?q=organization:nsf-gov,88/53,,,,,,Yes,
National Archives,Independent,http://www.archives.gov/data/,No,http://www.archives.gov/data/#assets,http://www.archives.gov/data.json,Yes,http://www.archives.gov/digitalstrategy/,Yes,summary and milestones,http://www.archives.gov/digitalstrategy/open-data.html,,http://catalog.data.gov/dataset?q=organization:nara-gov+OR+organization:gpo-gov,57/48,,,,,,Yes,
Institute of Museum and Library Services,Independent,http://www.imls.gov/data/,Yes,http://www.imls.gov/data/,http://www.imls.gov/data.json,Yes,http://www.imls.gov/digitalstrategy/,Partial Compliance,No,http://www.imls.gov/data/,,http://catalog.data.gov/dataset?q=organization:imls-gov,39/21,,,,,,Yes,
Consumer Financial Protection Bureau ,Independent,,No,,http://www.consumerfinance.gov/data.json,Yes,,No,No,,,http://catalog.data.gov/dataset?q=organization:cfpb-gov,1 of 1,,,,,,Yes,
Corporation for National and Community Service,Independent,http://www.nationalservice.gov/about/open-government-initiative/transparency/data-sources,,,,,,,,,,,,,,,,,,
Federal Communications Commission,Independent,http://www.fcc.gov/data,,http://www.fcc.gov/data/download-fcc-datasets,,,http://www.fcc.gov/digitalstrategy,,,,,,,,,,,,,
Federal Housing Finance Agency,Independent,http://www.fhfa.gov/datatools/downloads,,http://www.fhfa.gov/datatools/downloads,http://www.fhfa.gov/data.json,,,,,,,,,,,,,,,
Millenium Challenge Corporation,Independent,http://data.mcc.gov/,,http://data.mcc.gov/,http://data.mcc.gov/raw/data.json,,http://www.mcc.gov/pages/activities/activity/digital-strategy,,,,,,,,,,,,,
National Aeronautics and Space Administration,Independent,http://data.nasa.gov/,,http://data.nasa.gov/,http://data.nasa.gov/data.json,,http://www.nasa.gov/agency/digitalstrategy/index.html,,,,,,,,,,,,,
Railroad Retirement Board,Independent,http://rrb.gov/data/,,,http://rrb.gov/data.json,,,,,,,,,,,,,,,
Small Business Administration,Independent,http://www.sba.gov/about-sba/sba_performance/sba_data_store,,http://www.sba.gov/about-sba/sba_performance/sba_data_store/open_government_data_sources,http://www.sba.gov/tools/sites/default/files/data.json,,http://www.sba.gov/about-sba/sba_performance/open_government/digital_sba,,,,,,,,,,,,,
Peace Corps,Independent,http://www.peacecorps.gov/about/open/data/,*/data broken,,,,,,,,,,,,,,,,,
